Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1771,Airplane,Reciprocating,N1370B,1,Grumman,AA1C,Substantial
1772,Airplane,Reciprocating,N40037,2,Piper,PA-39,Substantial
1773,Airplane,Reciprocating,N211SB,2,Cessna,310Q,Substantial
1774,Airplane,Reciprocating,N7397,1,Grumman,G-164A,Substantial
1775,Airplane,Reciprocating,N84211,1,Luscombe,8F,Substantial
1776,Airplane,Reciprocating,N86689,1,Piper,PA-28-161,Substantial
1777,Airplane,Reciprocating,N5540P,1,Clancy,SKYBABY,Substantial
1778,Airplane,Reciprocating,N82X,1,Grumman,G-164A,Substantial
1779,Airplane,Reciprocating,N23725,1,Cessna,172K,Substantial
1780,Helicopter,Reciprocating,N9869,1,Hiller,UH-12L3,Substantial
1781,Airplane,Reciprocating,N6172M,1,Piper,PA-24-250,Destroyed
1782,Airplane,Reciprocating,N9161E,1,Quickie,QAC-1,Destroyed
1783,Airplane,Reciprocating,N39050,1,Beech,V35B,Destroyed
1784,Airplane,Reciprocating,N7469F,1,Grumman,G-164B,Destroyed
1785,Airplane,Reciprocating,N7712Y,1,Maule,M-5,Destroyed
1786,Airplane,Reciprocating,N7657,1,Maule,M-5-235C,Substantial
1787,Airplane,Reciprocating,N303TC,1,Grumman,AA-1C,Substantial
1788,Helicopter,Reciprocating,N99481,1,Hughes,269C,Substantial
1789,Airplane,Reciprocating,N929B,2,Piper,PA-30,Substantial
1790,Glider,Unknown,N1108T,0,Schweizer,SGS 1-34,Substantial
1791,Airplane,Reciprocating,N49532,2,Cessna,T310P,Substantial
1792,Airplane,Reciprocating,N73871,1,Ercoupe,415-C,Substantial
1793,Helicopter,Reciprocating,N39MN,1,Bell,47D1,Substantial
1794,Helicopter,Turbo Shaft,N6HA,1,Hughes,369B,Substantial
1795,Helicopter,Turbo Shaft,N73983,1,Aerospatiale,SA 315B,Substantial
1796,Helicopter,Reciprocating,N3620Y,1,Bell-cont 42g,EL TOMCAT-MK5A,Substantial
1797,Airplane,Reciprocating,N93358,2,Britten-norman,BN-2A,Substantial
1798,Airplane,Reciprocating,N64657,1,Pitts,S1-S,Destroyed
1799,Helicopter,Reciprocating,N6643E,1,Bell,47G2A1,Minor
1800,Glider,Unknown,N18003,0,Schweizer,SGS-1-36,Substantial
1801,Airplane,Reciprocating,N24208,1,Ercoupe,415-C,Substantial
1802,Airplane,Reciprocating,N273AS,1,Cessna,172P,Substantial
1803,Airplane,Reciprocating,N6446Q,2,Beech,58P,Substantial
1804,Airplane,Reciprocating,N6673G,1,Cessna,150L,Substantial
1805,Airplane,Reciprocating,N4007Z,1,Cessna,152,Substantial
1806,Glider,Unknown,N61330,0,Blanik,L-13,Substantial
1807,Airplane,Reciprocating,N39714,1,Mooney,M20F,Substantial
1808,Airplane,Reciprocating,N65609,1,Cessna,150,Substantial
1809,Airplane,Reciprocating,N1140M,1,Piper,PA-18-150,Substantial
1810,Airplane,Reciprocating,N41661,1,Cessna,150J,Substantial
1811,Airplane,Reciprocating,N4778R,1,Waco,UPF-7,Substantial
1812,Airplane,Reciprocating,N63183,1,Cessna,152,Substantial
1813,Airplane,Reciprocating,N53070,1,Mooney,M20J,Substantial
1814,Airplane,Reciprocating,N2045F,1,Piper,PA-28-151,Substantial
1815,Helicopter,Turbo Shaft,N2408R,1,Bell,206B,Substantial
1816,Airplane,Reciprocating,N59CG,1,Cessna,150M,Substantial
1817,Airplane,Reciprocating,N5584B,1,Cessna,177RG,
1818,Balloon,Unknown,N5343Y,0,Barnes,AX-7,
1819,Airplane,Reciprocating,N63221,1,Cessna,182G,Destroyed
1820,Helicopter,Reciprocating,N8232P,1,Goans,G-5,Destroyed
1821,Airplane,Reciprocating,N2106S,1,Cessna,182,Destroyed
1822,Airplane,Reciprocating,N3317F,2,Piper,PA-23-250,Substantial
1823,Airplane,Reciprocating,N3780X,1,Cessna,150M,Substantial
1824,Airplane,Reciprocating,N604VP,1,Piper,PA-24,Substantial
1825,Airplane,Reciprocating,N4662T,1,Cessna,T210L,Substantial
1826,Airplane,Reciprocating,N56339,1,Cessna,182J,Substantial
1827,Airplane,Reciprocating,N8259,1,Aero Commander,100,Substantial
1828,Glider,Unknown,N48534,0,Glassflugel,604,Substantial
1829,Airplane,Reciprocating,N5762N,1,Pietenpol,AIRCAMPER,Substantial
1830,Airplane,Reciprocating,N919RW,1,Piper,PA-28-200R,Substantial
1831,Helicopter,Turbo Shaft,CGAAA,1,Aerospatiale,SA 316B,Substantial
1832,Airplane,Reciprocating,N9657U,1,Grumman,G164A,Substantial
1833,Airplane,Reciprocating,N2147F,1,Great Lakes,2T-1A-2,Substantial
1834,Airplane,Turbo Fan,N505HP,2,Douglas,DC-9-31,Minor
