Aircraft_ID,Aircraft.Category,Engine.Type,Registration.Number,Number.of.Engines,Make,Model,Aircraft.damage
1,Airplane,Reciprocating,NC6404,1,Stinson,108-3,Destroyed
2,Airplane,Reciprocating,N5069P,1,Piper,PA24-180,Destroyed
3,Airplane,Reciprocating,N5142R,1,Cessna,172M,Destroyed
4,Airplane,Reciprocating,N1168J,1,Rockwell,112,Destroyed
5,Helicopter,,N15NY,,Cessna,501,Destroyed
6,Airplane,Turbo Fan,CF-TLU,2,Mcdonnell Douglas,DC9,Substantial
7,Airplane,Reciprocating,N4988E,1,Cessna,180,Destroyed
8,Airplane,Reciprocating,N2482N,1,Cessna,140,Substantial
9,Airplane,Reciprocating,N7967Q,2,Cessna,401B,Substantial
10,Airplane,Reciprocating,N3906K,1,North American,NAVION L-17B,Substantial
11,Airplane,Reciprocating,N44832,1,Piper,PA-28-161,Substantial
12,Airplane,Reciprocating,N4275S,1,Beech,V35B,Substantial
13,Airplane,Reciprocating,N14779,1,Bellanca,17-30A,Destroyed
14,Airplane,Reciprocating,N758SK,1,Cessna,R172K,Destroyed
15,Airplane,Reciprocating,N4876K,1,Navion,A,Destroyed
16,Airplane,Reciprocating,N9779L,1,Beech,19,Destroyed
17,Helicopter,Reciprocating,N51735,1,Enstrom,280C,Destroyed
18,Airplane,Reciprocating,N7641A,1,Cessna,180,Destroyed
19,Airplane,Reciprocating,N25084,1,Cessna,172,Substantial
20,Helicopter,Reciprocating,N23BS,1,Smith,WCS-222 (BELL 47G),Substantial
21,Airplane,Reciprocating,N68812,1,Cessna,152,Substantial
22,Airplane,Reciprocating,N1549Q,1,Cessna,150L,Substantial
23,Helicopter,Turbo Shaft,N5745Y,1,Bell,206L-1,Substantial
24,Airplane,Reciprocating,N5018P,1,Piper,PA-24-180,Minor
25,Airplane,Reciprocating,N28912,1,Grumman,AA-5B,Destroyed
26,Airplane,Reciprocating,N2620L,2,Cessna,414A,Destroyed
27,Airplane,Reciprocating,N10VS,2,Beechcraft,BE-58,Destroyed
28,Airplane,Reciprocating,N7125D,1,Maule,M-5-235C,Substantial
29,Airplane,Reciprocating,N94252,1,Cessna,210L,Substantial
30,Airplane,Reciprocating,N8630V,1,Bellanca,7GCBC,Substantial
31,Airplane,Reciprocating,N71054,1,Cessna,182,Substantial
32,Airplane,Reciprocating,N23069,1,Air Tractor,AT-301,Substantial
33,Airplane,Reciprocating,N8265A,1,Piper,PA-28-161,Destroyed
34,Airplane,Reciprocating,N1956H,2,Piper,PA-34-200T,Destroyed
35,Airplane,Reciprocating,N2CU,2,Cessna,T337G,Destroyed
36,Airplane,Reciprocating,N32335,1,Piper,PA-28R-200,Substantial
37,Airplane,Reciprocating,N5151U,1,Cessna,206,Destroyed
38,Airplane,Reciprocating,N4520K,1,Navion,A,Destroyed
39,Airplane,Reciprocating,N4696Z,1,Piper,PA-22,Destroyed
40,Airplane,Reciprocating,N546BA,2,Piper,PA-31,Destroyed
41,Airplane,Reciprocating,N5782N,1,Rockwell,114,Minor
42,Airplane,Reciprocating,N5304P,1,Piper,PA-24-250,Substantial
43,Airplane,Reciprocating,N2139T,1,Piper,PA-28R-200,Substantial
44,Airplane,Reciprocating,N738XP,1,Cessna,TR182,Substantial
45,Airplane,Reciprocating,N3343S,1,Cessna,A185F,Substantial
46,Airplane,Reciprocating,N2672A,2,Cessna,340,Substantial
47,Helicopter,Turbo Shaft,N608RA,1,Aerospatiale,SA-316B,Substantial
48,Airplane,Reciprocating,N8070Q,1,Beech,35,Substantial
49,Airplane,Reciprocating,N4900L,1,Cessna,152,Substantial
50,Airplane,Reciprocating,N201NH,1,Mooney,M-20J,Substantial
51,Airplane,Reciprocating,N59737,1,Boeing,A75,Substantial
52,Airplane,Reciprocating,N9763X,1,Cessna,210,Destroyed
53,Airplane,Reciprocating,N117P,1,Beech,V35,Substantial
54,Airplane,Reciprocating,N1698M,2,Curtis,C46,Substantial
55,Airplane,Reciprocating,N80264,1,Cessna,172M,Destroyed
56,Airplane,Reciprocating,N207CB,1,Piper,PA-28-140,Destroyed
57,Airplane,Reciprocating,N6106U,1,Cessna,TU206G,Substantial
58,Airplane,Reciprocating,N46681,1,Cessna,152,Substantial
59,Airplane,Reciprocating,N7618P,1,Piper,PA-24-250,Substantial
60,Airplane,Reciprocating,N6265P,1,Cessna,152,Substantial
61,Airplane,Reciprocating,N737LH,1,Cessna,172N,Substantial
62,Airplane,Reciprocating,N25225,1,Cessna,152,Substantial
63,Glider,Unknown,N10UP,0,Schleicher,ASW 20,Substantial
64,Airplane,Reciprocating,N731NZ,1,Cessna,P210N,Substantial
65,Airplane,Reciprocating,N7355A,1,Cessna,172,Substantial
66,Airplane,Reciprocating,N55489,2,Piper,PA-34,Substantial
67,Airplane,Reciprocating,N5639V,1,Cessna,305 (L-19),Substantial
68,Airplane,Reciprocating,N2195G,1,Cessna,182A,Substantial
69,Airplane,Reciprocating,N567V,2,Piper,PA-23-250,Destroyed
70,Airplane,Reciprocating,N2753J,1,Cessna,172N,Destroyed
71,Airplane,Reciprocating,N6995Y,2,Piper,23-250,Destroyed
72,Airplane,Reciprocating,N3688N,1,Mooney,M20G,Destroyed
73,Airplane,Reciprocating,N2644Q,1,Cessna,TU206F,Substantial
74,Airplane,Reciprocating,N234Q,1,Quickie,1,Substantial
75,Airplane,Reciprocating,N756YN,1,Cessna,U206,Substantial
76,Airplane,Reciprocating,N7273J,1,Piper,PA-28-140,Destroyed
77,Airplane,Reciprocating,N6558A,1,Cessna,210N,Destroyed
78,Airplane,Reciprocating,N2332C,1,Cessna,180,Substantial
79,Airplane,Reciprocating,N424VW,2,Cessna,310L,Substantial
80,Airplane,Turbo Fan,N31031,3,Lockheed,L-1011,
81,Airplane,Turbo Prop,N615KC,2,Embraer,EMB-110P1,Minor
82,Airplane,Reciprocating,N7706,2,Cessna,414,Destroyed
83,Airplane,Reciprocating,N8678M,1,Beech,P35,Substantial
84,Airplane,Reciprocating,N28607,1,Grumman,AA5B,Destroyed
85,Helicopter,Turbo Fan,N62AF,2,Boeing,737-222,Destroyed
86,Airplane,Reciprocating,N47442,1,Piper,PA-28R-201T,Substantial
87,Airplane,Reciprocating,N2396W,1,Beech,A23-24,Substantial
88,Airplane,Reciprocating,N36PB,2,Piper,PA-31-350,Substantial
89,Airplane,Reciprocating,N6520Y,1,Cessna,T210N,Destroyed
90,Helicopter,Reciprocating,N4875B,2,Cessna,310,Substantial
91,Airplane,Reciprocating,N5559T,1,Cessna,172,Substantial
92,Helicopter,Reciprocating,N58203,1,Hughes,269C,Substantial
93,Airplane,Reciprocating,N72901,1,Cessna,140,Substantial
94,Airplane,Turbo Prop,N341PL,2,Swearingen,SA 226-TC,Substantial
95,Airplane,Reciprocating,N300JR,2,Beech,C-45H,Substantial
96,Airplane,Turbo Prop,N1459T,1,De Havilland,DHC-2-MK3,Substantial
97,Helicopter,Turbo Shaft,N1081H,1,Bell Helicopter,206L-1,Destroyed
98,Airplane,Reciprocating,N704KE,1,Cessna,150M,Substantial
99,Airplane,Reciprocating,N63182,1,Cessna,150M,Destroyed
100,Airplane,Reciprocating,N381JH,1,Bede Aircraft,BD-5B,Destroyed
101,Airplane,Reciprocating,N7383S,1,Cessna,182P,Destroyed
102,Airplane,Reciprocating,N21DR,2,Convair,440,Destroyed
103,Airplane,Reciprocating,N9181Y,2,Piper,PA-31,Destroyed
104,Airplane,Turbo Prop,N91TW,2,Piper,PA-31T,Destroyed
105,Airplane,Reciprocating,N654T,2,Beech,F50,Destroyed
106,Airplane,Reciprocating,N63516,1,Cessna,150,Destroyed
107,Airplane,Reciprocating,N2600Y,1,Cessna,180E,Substantial
108,Airplane,Reciprocating,N3574D,1,Cessna,170B,Substantial
109,Helicopter,Turbo Shaft,N203AL,1,Bell,206B,Substantial
110,Airplane,Reciprocating,N2127W,1,Beech,C23,Destroyed
111,Airplane,Reciprocating,N5295R,1,Cessna,172M,Destroyed
112,Airplane,Reciprocating,N4583J,1,Piper,PA-28-180,Destroyed
113,Airplane,Reciprocating,N2705K,1,Cessna,180K,Substantial
114,Airplane,Reciprocating,N641CH,1,Cessna,210L,Substantial
115,Airplane,Reciprocating,N7761M,1,Mooney,M20F,Destroyed
116,Airplane,Reciprocating,N4438D,1,Beech,G35,Destroyed
117,Airplane,Reciprocating,N35147,1,Cessna,177B,Destroyed
118,Airplane,Reciprocating,N26660,1,Grumman,AA5A,Destroyed
119,Airplane,Turbo Prop,N336SA,2,Swearingen,SA226-T(B),Destroyed
120,Airplane,Turbo Prop,N9240N,2,De Havilland,DHC-6-300,Minor
121,Airplane,Reciprocating,N8043J,2,Piper,AEROSTAR 601P,Substantial
122,Airplane,Reciprocating,N68292,1,Cessna,152,Substantial
123,Airplane,Reciprocating,N52757,1,Cessna,182P,Substantial
124,Airplane,Reciprocating,N1969Q,1,Cessna,177RG,Substantial
125,Airplane,Reciprocating,N824CB,1,Beachner,QUICK SILVER,Substantial
126,Airplane,Reciprocating,N9255X,1,Cessna,182E,Substantial
127,Airplane,Reciprocating,N6510S,1,Cessna,150H,Substantial
128,Airplane,Reciprocating,N4140G,2,Cessna,340A,Substantial
129,Airplane,Reciprocating,N26093,1,Piper,PA-38-112,Substantial
130,Airplane,Turbo Prop,HCBHS,4,Canadair,CL-44D4,Substantial
131,Airplane,Reciprocating,N4246T,1,Piper,PA-32,Substantial
132,Airplane,Reciprocating,N74HP,2,Piper,PA-31-350,Minor
133,Airplane,Reciprocating,N9395Q,2,Beech,58,Destroyed
134,Airplane,Reciprocating,N92387,1,Cessna,182N,Destroyed
135,Airplane,Reciprocating,N6242Y,2,Piper,PA-23-250,Destroyed
136,Airplane,Reciprocating,N3318S,1,Cessna,210,Substantial
137,Airplane,Reciprocating,N5350M,1,Cessna,152,Substantial
138,Helicopter,Reciprocating,N7402F,1,Hughes,269C,Substantial
139,Airplane,Reciprocating,N4947K,1,Cessna,P210N,Destroyed
140,Airplane,Reciprocating,N4553Q,2,Cessna,402A,Destroyed
141,Airplane,Reciprocating,N211TA,2,Douglas,DC-3,Destroyed
142,Airplane,Reciprocating,N40291,2,Piper,PA-23-250,Destroyed
143,Airplane,Reciprocating,N41664,1,Piper,PA-28-235,Destroyed
144,Airplane,Reciprocating,N6142L,1,Grumman,AA-1,Destroyed
145,Airplane,Reciprocating,N31937,1,Piper,PA-32,Destroyed
146,Airplane,Reciprocating,N1729U,1,Cessna,207,Destroyed
147,Airplane,Reciprocating,N6029Q,1,Mooney,M-20,Substantial
148,Airplane,Reciprocating,N8793S,1,Air Tractor,301,Substantial
149,Airplane,Reciprocating,N13JL,1,Sons Mustang,II,Destroyed
150,Airplane,Turbo Fan,N18FE,2,Dassault/sud,FALCON 20,
151,Airplane,Reciprocating,N13083,1,Cessna,172M,Substantial
152,Helicopter,Reciprocating,N97AR,1,Sikorsky,S-58J,Substantial
153,Airplane,Reciprocating,N8172B,1,Cessna,172,Destroyed
154,Airplane,Reciprocating,N7860V,1,Mooney,M20C,Destroyed
155,Airplane,Reciprocating,N8584,1,Grumman,G-164A,Destroyed
156,Airplane,Turbo Fan,N113WA,3,Mcdonnell Douglas,DC-10-30,Destroyed
157,Airplane,Reciprocating,N6940Q,1,Beech,A23A,Destroyed
158,Airplane,Reciprocating,N2872D,1,Piper,PA-32-300,Substantial
159,Airplane,Reciprocating,N45453,1,Cessna,150M,Substantial
160,Airplane,Reciprocating,N32555,2,Piper,PA-34-200T,Substantial
161,Airplane,Reciprocating,N32380,1,Piper,PA-28-235,Substantial
162,Airplane,Reciprocating,N7219S,1,Cessna,150H,Substantial
163,Helicopter,Turbo Shaft,N1085T,1,Bell/textron,206 L-1,Substantial
164,Helicopter,Reciprocating,N10194,1,Bell,47G-2,Substantial
165,Airplane,Reciprocating,N2536K,1,Piper,PA-38-112,Substantial
166,Airplane,Reciprocating,N4244Z,2,Robertson,C-402B,Destroyed
167,Airplane,Reciprocating,N80420,1,Cessna,172,Substantial
168,Airplane,Reciprocating,N13533,1,Cessna,172,Substantial
169,Airplane,Reciprocating,N6492V,1,Cessna,172RG,Substantial
170,Airplane,Reciprocating,N34975,1,Cessna,177,Substantial
171,Airplane,Reciprocating,N71734,1,Cessna,182M,Destroyed
172,Airplane,Reciprocating,N4825B,1,Cessna,152II,Substantial
173,Airplane,Reciprocating,N9413G,1,Cessna,A188B,Destroyed
174,Airplane,Reciprocating,N5989W,1,Piper,PA-28-140,Substantial
175,Airplane,Reciprocating,N9259H,1,Cessna,172N,Substantial
176,Airplane,Reciprocating,N89772,1,Cessna,152,Substantial
177,Airplane,Reciprocating,N88202,1,Bellanca,7GCBC,Substantial
178,Helicopter,Turbo Shaft,N58214,1,Hughes,369D,Substantial
179,Helicopter,Turbo Shaft,N96142,1,Bell,UH1B,Destroyed
180,Airplane,Reciprocating,N4918H,1,Cessna,152,Substantial
181,Airplane,Reciprocating,N64951,1,Cessna,152,Substantial
182,Airplane,Reciprocating,N5745T,1,Cessna,172N,Substantial
183,Airplane,Reciprocating,N3174C,1,Aeronca,7BCM,Substantial
184,Airplane,Reciprocating,N2466B,1,Piper,PA-38-112,Substantial
185,Airplane,Reciprocating,N32678,1,Piper,28-151,Destroyed
186,Airplane,Reciprocating,N4604N,2,Cessna,340A,Substantial
187,Airplane,Reciprocating,N5333T,1,Cessna,172H,Substantial
188,Airplane,Reciprocating,N6594U,1,Mooney,M20C,Substantial
189,Airplane,Reciprocating,N6265E,1,Cessna,A185F,Substantial
190,Airplane,Reciprocating,N3654W,1,Piper,PA-32-260,Substantial
191,Airplane,Reciprocating,N1589E,1,Cessna,172N,Destroyed
192,Airplane,Turbo Prop,N1851S,2,Beech,B200,
193,Airplane,Reciprocating,N1434Q,1,Cessna,150,Destroyed
194,Airplane,Reciprocating,N758RD,1,Cessna,172,Substantial
195,Airplane,Reciprocating,N9674C,1,Piper,PA-28R-201T,Minor
196,Airplane,Reciprocating,N4510H,1,Mooney,M20J,Destroyed
197,Airplane,Reciprocating,N5173R,1,Cessna,TR182,Substantial
198,Airplane,Reciprocating,N1669E,1,Aeronca,7AC,Substantial
199,Airplane,Reciprocating,N35289,1,Cessna,177B,Substantial
200,Airplane,Reciprocating,N54288,1,Cessna,172,Substantial
201,Airplane,Reciprocating,N3041N,1,Cessna,140,Substantial
202,Airplane,Reciprocating,N5447E,1,Cessna,172,Substantial
203,Airplane,Reciprocating,N42042,1,Cessna,182L,Substantial
204,Airplane,Reciprocating,N734YY,1,Cessna,172N,Substantial
205,Airplane,Reciprocating,N53294,1,Cessna,172P,Substantial
206,Airplane,Reciprocating,N6758B,1,Piper,PA-22,Substantial
207,Airplane,Reciprocating,N17065,1,Cessna,150L,Substantial
208,Airplane,Reciprocating,N5005M,1,Beech,36,Substantial
209,Airplane,Reciprocating,N5406M,1,Cessna,152,Substantial
210,Airplane,Reciprocating,N21481,1,Piper,PA-28-161,Substantial
211,Airplane,Reciprocating,N2596K,1,Cessna,180K,Substantial
212,Airplane,Reciprocating,N89963,1,Cessna,152,Substantial
213,Airplane,Reciprocating,N6409M,1,Cessna,152,Substantial
214,Airplane,Reciprocating,N3921P,1,Piper,PA-22,Substantial
215,Airplane,Turbo Prop,N451C,2,Beech,99,Destroyed
216,Airplane,Reciprocating,N5111D,1,Cessna,172,Destroyed
217,Helicopter,Turbo Shaft,N213EH,1,Aerospatiale,SA-360C,Destroyed
218,Airplane,Reciprocating,N58947,1,Cessna,182,Destroyed
219,Airplane,Reciprocating,N5067C,1,Bellanca,7ECA,Substantial
220,Airplane,Reciprocating,N5481S,1,Cessna,TR182,Substantial
221,Airplane,Reciprocating,N2575X,1,Cessna,P206,Substantial
222,Airplane,Turbo Jet,N5400G,2,Grumman,1159,Substantial
223,Airplane,Reciprocating,N8178F,1,Piper,PA-32,Substantial
224,Airplane,Reciprocating,N62481,2,Piper,PA-23-250,Destroyed
225,Airplane,Reciprocating,N3166J,1,Cessna,150G,Destroyed
226,Airplane,Reciprocating,N756GF,1,Cessna,U206G,Substantial
227,Airplane,Reciprocating,N6618N,1,Cessna,T210N,Substantial
228,Airplane,Reciprocating,N12BK,1,Smith Miniplane,BK-1,Substantial
229,Airplane,Reciprocating,N11578,1,Mooney,M20J,Destroyed
230,Airplane,Turbo Prop,N149JA,2,Mitsubishi,MU2B-40,Destroyed
231,Airplane,Turbo Fan,N1814U,3,Mcdonnell-douglas,DC-10-10,Minor
232,Airplane,Reciprocating,N5527G,1,Cessna,150J,Substantial
233,Airplane,Reciprocating,N3579T,1,Taylorcraft,F19,Substantial
234,Helicopter,Turbo Shaft,N2777B,1,Bell,206L-1,Substantial
235,Airplane,Reciprocating,N9759Q,2,Ted Smith,AEROSTAR 600,Substantial
236,Helicopter,Reciprocating,N90286,1,Robinson,R-22,Destroyed
237,Airplane,Reciprocating,N5193X,1,Bellanca,7KCAB,Substantial
238,Helicopter,Turbo Shaft,N2623,1,Bell,206L-1,Substantial
239,Airplane,Reciprocating,N1306H,1,Piper,PA-28,Destroyed
240,Airplane,Reciprocating,N75225,1,Piper,PA-32R-300,Destroyed
241,Airplane,Reciprocating,N721FL,1,Piper,PA-28-140,Substantial
242,Airplane,Reciprocating,N123WL,1,Cessna,T210L,Substantial
243,Airplane,Reciprocating,N56270,1,Boeing,A75N1,Minor
244,Airplane,Reciprocating,N747CE,2,Piper,PA-31,Destroyed
245,Airplane,Reciprocating,N71681,1,Bellanca,7KCAB,Minor
246,Airplane,Reciprocating,N95078,1,Taylorcraft,BC12-D,Substantial
247,Airplane,Reciprocating,N7041C,1,Piper,PA-28-140,Substantial
248,Balloon,Unknown,N5571N,0,Raven,S-55A,Substantial
249,Airplane,Reciprocating,N3343D,1,Cessna,180,Substantial
250,Airplane,Reciprocating,N49013,1,Cessna,152,Substantial
251,Airplane,Reciprocating,N7644F,1,Piper,PA-28-181,Substantial
252,Airplane,Reciprocating,N93607,2,Ercoupe,415-C,Substantial
253,Airplane,Reciprocating,N8510S,1,Cessna,182H,Substantial
254,Airplane,Reciprocating,N10794,1,Cessna,150,Substantial
255,Airplane,Reciprocating,N7361P,1,Piper,PA-24-180,Destroyed
256,Airplane,Reciprocating,N2280G,1,Cessna,182B,Destroyed
257,Airplane,Reciprocating,N16524,1,Piper,PA-28-140,Destroyed
258,Airplane,Reciprocating,N731NQ,1,Cessna,P210N,Destroyed
259,Airplane,Reciprocating,N4660W,1,Rockwell Comdr,112TCA,Substantial
260,Airplane,Reciprocating,N8280W,1,Piper,PA-28-180,Substantial
261,Airplane,Reciprocating,N41694,1,Bellanca,7KCAB,Substantial
262,Airplane,Reciprocating,N738QM,1,Cessna,172N,Substantial
263,Airplane,Reciprocating,N5272B,1,Cessna,152,Substantial
264,Airplane,Reciprocating,N2501N,1,Piper,PA-38,Substantial
265,Airplane,Reciprocating,N33281,1,Cessna,177RG,Substantial
266,Airplane,Reciprocating,N9893J,1,Cessna,172,Substantial
267,Airplane,Reciprocating,N46733,1,Cessna,152,Substantial
268,Airplane,Reciprocating,N7804U,1,Cessna,172,Substantial
269,Airplane,Reciprocating,N733ZR,1,Cessna,172N,Destroyed
270,Airplane,Reciprocating,N13165,1,Cessna,C-172,Destroyed
271,Airplane,Reciprocating,N2887Z,1,Piper,PA-18A-150,Substantial
272,Airplane,Reciprocating,N65619,1,Cessna,152,Substantial
273,Airplane,Reciprocating,N8282Z,1,Piper,PA-28R-201,Substantial
274,Airplane,Reciprocating,N2203B,1,Piper,PA-28-161,Substantial
275,Airplane,Reciprocating,N9479M,1,Cessna,182P,Substantial
276,Airplane,Reciprocating,N89047,1,Cessna,140,Substantial
277,Airplane,Reciprocating,N60427,1,Beech,C-23,Substantial
278,Airplane,Reciprocating,N2562K,1,Piper,PA-38-112,Destroyed
279,Airplane,Reciprocating,N7148N,1,Beech,V35A,Destroyed
280,Airplane,Turbo Prop,N205SG,2,Beech,200,
281,Airplane,Reciprocating,N69DH,2,Cessna,310R,Substantial
282,Airplane,Reciprocating,N12562,1,Cessna,172,Substantial
283,Airplane,Reciprocating,N5218J,2,Cessna,402B,Substantial
284,Airplane,Reciprocating,N8456Q,1,Cessna,185,Substantial
285,Airplane,Reciprocating,N5207J,2,Cessna,310,Destroyed
286,Airplane,Reciprocating,N200WJ,2,Beech,95-C55,Destroyed
287,Airplane,Reciprocating,N84330,1,Cessna,172K,Substantial
288,Airplane,Reciprocating,N5439J,2,Cessna,421B,Substantial
289,Airplane,Reciprocating,N8299F,2,Cessna,401,Substantial
290,Helicopter,Reciprocating,N2256G,1,Sikorsky,UH-19B,Substantial
291,Airplane,Reciprocating,N24CC,2,Cessna,421,Destroyed
292,Airplane,Reciprocating,N6659Q,1,Grumman,G-164B,Destroyed
293,Airplane,Reciprocating,N757YE,1,Cessna,152,Substantial
294,Airplane,Reciprocating,N6894L,2,Piper,PA-60-602P,Substantial
295,Airplane,Turbo Prop,N80701,2,De Havilland,DHC-6-100,
296,Airplane,Reciprocating,N5266P,1,Piper,PA-24-250,Destroyed
297,Airplane,Reciprocating,N1515V,2,Howard Aircraft Corp.,500,Substantial
298,Airplane,Reciprocating,N49952,1,Cessna,152,Substantial
299,Airplane,Reciprocating,N99WM,1,Cessna,172K,Destroyed
300,Airplane,Reciprocating,N8455Y,2,Piper,PA-34,Destroyed
301,Airplane,Reciprocating,N1433J,1,Rockwell,112A,Destroyed
302,Airplane,Reciprocating,N8385D,1,Beech,J35,Destroyed
303,Airplane,Reciprocating,N7947Z,1,Cessna,150,Substantial
304,Airplane,Reciprocating,N4822B,1,Cessna,152,Substantial
305,Airplane,Reciprocating,N82004,1,Aeronca,7AC,Substantial
306,Airplane,Reciprocating,N8862B,1,Cessna,172,Substantial
307,Airplane,Reciprocating,N4380Z,1,Piper,PA-18,Substantial
308,Airplane,Reciprocating,N9447U,1,Cessna,150,Substantial
309,Airplane,Reciprocating,N4393C,1,Aeronca,7EC,Destroyed
310,Helicopter,Turbo Shaft,N2240H,1,Bell,214B-1,Destroyed
311,Airplane,Reciprocating,N4539U,1,Cessna,150,Destroyed
312,Airplane,Reciprocating,N5101B,1,Cessna,152,Destroyed
313,Airplane,Reciprocating,N14908,1,Bellanca,17-30A,Substantial
314,Airplane,Reciprocating,N18102,1,Cessna,150,Substantial
315,Airplane,Reciprocating,N98367,1,Piper,PA-28-140,Substantial
316,Airplane,Reciprocating,N24007,1,Piper,PA-38-112,Substantial
317,Airplane,Reciprocating,N8252V,1,Piper,PA-28-161,Substantial
318,Airplane,Reciprocating,N5543J,1,Cessna,172N,Substantial
319,Airplane,Reciprocating,N37768,1,Porterfield,CP-65,Substantial
320,Airplane,Reciprocating,N2552U,1,Piper,PA-28-161,Substantial
321,Airplane,Turbo Jet,N73717,2,Boeing,B737-2H4,Minor
322,Airplane,Reciprocating,N6822T,2,Cessna,310D,Destroyed
323,Airplane,Reciprocating,N1108P,2,Piper,PA-23,Destroyed
324,Airplane,Reciprocating,N201UM,1,Mooney,M20J,Substantial
325,Airplane,Reciprocating,N44710,1,Piper,PA-28-151,Substantial
326,Airplane,Reciprocating,N24311,1,Cessna,152,Substantial
327,Airplane,Reciprocating,N56979,1,Piper,PA-28-151,Substantial
328,Airplane,Reciprocating,N757FX,1,Cessna,152(II),Substantial
329,Airplane,Reciprocating,N3859B,1,Beech,35,Substantial
330,Airplane,Reciprocating,N3893T,1,Piper,PA-28R-180,Substantial
331,Airplane,Reciprocating,N63536,1,Cessna,150M,Substantial
332,Airplane,Reciprocating,N53899,1,Bellanca,8GCBC,Substantial
333,Airplane,Reciprocating,N7511L,2,Piper,PA-31-310,Substantial
334,Airplane,Reciprocating,N21732,1,Cessna,172,Substantial
335,Airplane,Turbo Prop,N2517X,2,Piper,PA-31T2,Destroyed
336,Airplane,Turbo Prop,N3DS,2,Beech,90,Substantial
337,Airplane,Turbo Prop,N169RV,2,Nihon,YS-11A,Substantial
338,Airplane,Reciprocating,N757TY,1,Cessna,152,Destroyed
339,Airplane,Reciprocating,N6585H,1,Cessna,172M,Substantial
340,Airplane,Reciprocating,N29665,1,Piper,PA-28RT-201T,Substantial
341,Airplane,Reciprocating,N53769,1,Bellanca,7ECA,Substantial
342,Airplane,Reciprocating,N33NF,1,Cessna,177RG,Substantial
343,Airplane,Reciprocating,N5314A,1,Cessna,210,Substantial
344,Airplane,Reciprocating,N4814K,1,Cessna,210,Substantial
345,Airplane,Turbo Fan,N4734,3,Boeing,727-235,Substantial
346,Airplane,Reciprocating,N5799Y,2,Piper,PA-23,Substantial
347,Airplane,Turbo Prop,N101RA,2,Embraer,EMB-11OP1,Minor
348,Airplane,Reciprocating,N4295S,1,Beech,A36,Destroyed
349,Airplane,Reciprocating,N5552F,1,Piper,PA-28-140,Destroyed
350,Airplane,Reciprocating,N510PE,1,Cessna,T210N,Substantial
351,Airplane,Reciprocating,N3667L,1,Great Lakes,2T1A-2,Substantial
352,Airplane,Turbo Jet,XAMEJ,3,Boeing,B-727-200,
353,Airplane,Reciprocating,N8226A,2,Piper,PA-44-180T,Substantial
354,Balloon,Unknown,N1527F,0,Balloon Works,FIREFLY,Substantial
355,Airplane,Reciprocating,N80667,1,Quickie,,Substantial
356,Airplane,Reciprocating,N2605L,1,Cessna,172H,Substantial
357,Airplane,Reciprocating,N3328D,1,Cessna,180,Substantial
358,Airplane,Reciprocating,N210GL,1,Cessna,172A,Substantial
359,Airplane,Reciprocating,N1847X,2,Beech,58,Substantial
360,Airplane,Reciprocating,N4721F,1,Cessna,P206B,Substantial
361,Helicopter,Reciprocating,N4021A,1,Bell,47G2,Substantial
362,Airplane,Reciprocating,N6761H,2,Cessna,404,Substantial
363,Airplane,Reciprocating,N8WA,1,Pitts,51,Destroyed
364,Airplane,Reciprocating,N4307Q,1,Cessna,172L,Destroyed
365,Airplane,Reciprocating,N759QR,1,Cessna,182Q,Destroyed
366,Airplane,Reciprocating,N3802E,1,Piper,PA-36-375,Destroyed
367,Airplane,Reciprocating,N2240K,1,Piper,PA-28-161,Substantial
368,Airplane,Reciprocating,N24725,1,Cessna,152,Substantial
369,Airplane,Reciprocating,N529CA,1,Cessna,172N,Substantial
370,Airplane,Reciprocating,N9320U,1,Cessna,150M,Substantial
371,Airplane,Reciprocating,N77029,1,Cessna,140,Substantial
372,Airplane,Reciprocating,N291T,2,Beech,56TC,Substantial
373,Airplane,Reciprocating,N63213,1,Cessna,150,Substantial
374,Airplane,Reciprocating,N2845D,2,Grumman,G-21A,Substantial
375,Airplane,Reciprocating,N4812A,1,Piper,PA-22-150,Destroyed
376,Airplane,Reciprocating,N5593V,1,Piper,PA-28-181,Destroyed
377,Airplane,Reciprocating,N3646R,1,Piper,PA-28-180,Destroyed
378,Airplane,Turbo Prop,N127PM,2,De Havilland,DHC-6,Destroyed
379,Airplane,Reciprocating,N9958U,1,Grumman,AA-5A,Substantial
380,Airplane,Reciprocating,N8424B,1,Piper,PA-32R-301T,Substantial
381,Airplane,Reciprocating,N64998,1,Cessna,152,Substantial
382,Airplane,Reciprocating,N4906G,1,Cessna,172N,Substantial
383,Airplane,Reciprocating,N6597U,1,Mooney,M-20C,Substantial
384,Airplane,Reciprocating,N53731,1,Bellanca,7GCBC,Substantial
385,Airplane,Reciprocating,N1GF,1,Piper,PA-28-140,Substantial
386,Airplane,Reciprocating,N6112Q,1,Cessna,152,Substantial
387,Airplane,Turbo Prop,N378NE,2,Fairchild Hiller,227C,Substantial
388,Airplane,Reciprocating,N1218E,1,Bellanca,8KCAB,Substantial
389,Helicopter,Turbo Shaft,N4524,1,Kaman,HH-43F,Destroyed
390,Airplane,Reciprocating,N8869R,1,Bellanca,14-19-3A,Destroyed
391,Airplane,Reciprocating,N5358J,2,Cessna,421C,Substantial
392,Airplane,Reciprocating,N8526H,1,Grumman,G-164A,Substantial
