Airport_ID	Airport.Code	Airport.Name
165	9S1	CAPE GIRARDEAU MUNICIPAL
166	SDL	WASHINGTON MUNICIPAL
167	15S	ARTESIA MUNICIPAL
168	L71	ROSS FIELD
169	AK14	PUTNAM COUNTY
170	S1O	MEREDITH
171	GLD	PRIVATE STRIP
172	EVV	LANSING MUNI
173	9A7	COLES COUNTY
174	N41	PORTER COUNTY
175	GFK	DAVIS AIRPARK
176	SFO	NASHVILLE METRO
177	KOZ	KARDYS
178	P53	BIRMINGHAM MUNI
179	PHX	CARLSBAD AIRPORT
180	SEZ	GATEWAY NORTH INDUSTRIAL
181	MTH	NEWPORT NEWS
182	MCZ	LAKE WALES
183	TRR	PLYMOUTH COUNTY
184	OR04	SPANISH FORK
185	SD32	WAYNE COUNTY
186	GUC	RESTRICTED HELIPORT
187	5Q9	TREMBLE RANCH
188	STE	SPIRIT OF ST. LOUIS
189	MVC	BRENHAM MUNICIPAL
190	92C	FT. LAUDERDALE INTL
191	C17	LORAIN COUNTY REGIONAL
192	DKK	EAST KANSAS CITY
193	07R	BRADLEY
194	8V0	FERGUSON
195	MVY	NAVAJO STATE PARK
196	4R9	CLEVELAND
197	KY54	SEAMANS
198	RVS	SPIRIT OF ST. LOUIS
199	LAL	BOONE COUNTY
200	GNT	DWIGHT
201	PNA	TOLEDO SUBURBAN
202	TDO	PINEY GREEN
203	HYA	RIDGELAND MUNICIPAL
204	F70	ONTARIO INTERNATIONAL
205	E80	SCHROON LAKE
206	HAO	DES MOINES MUNI
207	1A0	SPIRIT OF ST. LOUIS
208	S98	SANGER
209	E37	FORT WAYNE MUNI.
210	TO2	PUTNAM COUNTY
211	4TX3	WASHINGTON CTY. REGIONAL
212	CO58	I-95 SOUTH
213	23C	BAY BRIDGE INDUSTRIAL
214	5G7	BI-STATE PARKS
215	I8V	SAN JUAN INTL
216	9L4	LEBANON-SPRINGFIELD
217	02K	PORT COLUMBUS
218	5KS	OPA LOCKA
219	K80	SAN LUIS OBISPO
220	ICL	RUSK COUNTY AIRPORT
221	4XS7	PETE LEIN FIELD
222	O1V	BLANDING CITY MUNICIPAL
223	CLW	MIAMI INTERNATIONAL
224	TVL	MITCHELL MUNICIPAL
225	DNV	BOISE AIR TERMINAL
226	O31	NORTH PERRY
227	LAF	HARLINGEN IND.AIR PARK
228	BLI	POCONO MOUNTAINS MUNI
229	C24	TORRANCE
230	ZZV	HUDSON FIELD
231	ELT	ARNEMAN FIELD
232	SGJ	PONTIAC-OAKLAND
233	EUG	WITTMAN
234	50Y	GUSTINE
235	0Q3	HARRIS STRIP
236	5K5	MUNICIPAL
237	XS64	ALBERT WHITTED
238	SKW	GRAND CANYON
239	SAV	TOWN AND COUNTRY
240	SNA	HUNTINGTON MUNI
241	43G	RAINBOW
242	GCN	MULE SHOE BAR RANCH
243	5R3	CATALINA
244	3WA	MONONA MUNICIPAL
245	OR58	MARCELINE
246	OAK	MATHEWS MEMORIAL
247	L47	SACRAMENTO METROPOLITAN
248	C20	AIRLAKE INDUSTRIAL
249	ND18	CLOW INTL AIRPORT
250	ONO	MONROE COUNTY
251	IL11	RAINBOW
252	3H9	WESTERLY STATE
253	CBF	M & M AG STRIP
254	BTF	ABILENE MUNI.
255	90Y	ELYRIA
256	L15	CLEVELAND-HOPKINS INTL.
257	D28	THOMAS RANCH
258	5C3	ARTHUR N. NEU
259	17J	KINGFISHER
260	LMT	MIAMI UNIVERSITY
261	MWK	OAK GROVE
262	GSP	HAYMAKER
263	BY3	O'HARE
264	LND	DOYLESTOWN
265	GCK	BRYAN
266	BRD	JEROME
267	79N	EUNICE AIRPORT
268	54D	AITKIN COUNTY
269	5B7	DEL RIO INTL
270	M03	DALLAS AIRPORT
271	X-52	DEKALB PEACHTREE
272	NH15	MCPHERSON
273	3VO	ROSSITTIE
274	3DW	KUSKOKWIM RIVER
275	9B1	NAS LEMOORE
276	1V8	VANSANT
277	W120	EASTON
278	HHR	WEST PASCO
279	E72	LEHIGH WEST
280	0C4	EXEC
281	N61	CLOVIS MUNICIPAL
282	STS	ACME
283	MHK	PLEASANT VALLEY
284	MMK	TAYLOR MUNICIPAL
285	YKM	REDBIRD
286	MKC	GRIFFIN SPALDING
287	HNL	LAUREL-NOBLE
288	6F4	GLENDALE MUNI
289	5V3	BIG SPRING
290	AR26	INTERMOUNTAIN REGIONAL
291	9C2	TEMPLE MUNICIPAL
292	SNY	ROCKTOP
293	17A	MESA VERDE
294	5QN	NORTH CENTRAL
295	IZA	STELLAR AIRPARK
296	CLP	PALMER METRO
297	2MOO	DELEON MUNICIPAL
298	MDW	TIMBER CREEK
299	T04	CROWNPOINT MUNICIPAL
300	L65	PILOT COUNTRY
301	1G5	KEY WEST INTERNATIONAL
302	S93	PORTER COUNTY
303	N83	LORAIN COUNTY
304	SD17	MANCHESTER/GREINIER IND.
305	S39	FALCON
306	AIY	MEMORIAL FIELD
307	K34	TIMMERMAN FIELD
308	STK	SHIFTLET
309	00V	MERRILL FIELD
310	MYF	SUMMERLAND KEY
311	RNT	HOBBY
312	3R3	WESTCHESTER COUNTY
313	EMM	HALF MOON BAY
314	ERI	HALF MOON BAY
315	D55	FREMONT MUNICIPAL
316	MKT	PAINE FIELD
317	FOE	WEISER AIRPARK
318	ABQ	CRYSTAL
319	4N8	PLUSH
320	NO5	FALCON FIELD
321	I-15	POUNDS FIELD
322	N31	MCCARRAN INTERNATL
323	ILL2	HEMPSTEAD
324	3HA	MURFREESBORO MUNICIPAL
325	EMP	SAN MIGUEL RANCH
326	8D4	GRAND MARAIS
327	X47	MICHIANA REGIONAL
328	S19	JAFFREY MUNI
329	FTW	SAN CARLOS
330	G07	TAFT AIRPORT
331	PHN	WILDWOOD STRIP
332	JHW	LONG BEACH/DAUGHETY FIELD
333	K55	MARLBORO
334	OCN	ALEXANDRIA
335	STC	MCCOMAS-LEE'S SUMMIT
336	SRQ	RYAN FIELD
337	4U5	ANGEL FIRE
338	C-59	TATITNA AIRSTRIP
339	AZ05	LAGUARDIA (R/W 22)
340	OKI5	BRADLEY INT'L AIRPORT
341	ART	COULTER
342	Q19	NASHVILLE METRO
343	09R	TALLAHASSEE MUNICIPAL
344	1M1	MCCARRAN INTL.
345	BTR	CAMBRIDGE MUNICIPAL
346	CZK	NASHVILLE METRO
347	33S	QUEEN CITY
348	Z73	ALBANY MUNICIPAL
349	K08	BADER FIELD
350	6Y2	PALM BEACH INTERNATIONAL
351	OH20	THUNDERBIRD
352	OFK	CHINO
353	5B3	LUBBOCK INTERNATIONAL
354	5CO0	JEFFERSON COUNTY
355	ICT	BOULDER MUNICIPAL
356	05S	SYRACUSE
357	S13	TORII
358	ASN	FOX FIELD
359	LXV	CALEVERAS COUNTY
360	C81	GREATER ROCKFORD
361	Y35	FRIEDMAN MEMORIAL
362	ELI	PEPPERELL
363	SBM	AIR PARK SOUTH
364	MWO	HIDDEN LAKE
365	IM7	GNOSS
366	ATL	TRI CITY
367	5D7	LAKE VILLAGE
368	4D1	BRYAN-WILLIANS CO.
369	CDV	DEKALB PEACHTREE
370	3A1	WILLOW AIRPORT
371	3SQ	MILLER INTERNATIONAL
372	GST	RICHLAND
373	9X5	SUGARLOAF
374	ADS	CHEYENNE MUNICIPAL
375	HVN	ST CLAIR COUNTY
376	17LS	TRISTATE
377	3R9	ABANDONED STRIP
378	5G3	CANASTOTA
379	MCE	GUNNISON COUNTY
380	FLR	FROZEN PAXSON LAKE
381	HMT	CHICKASHA
382	PLN	FANNING
383	H62	TAMIAMI
384	SUA	MOBILE REGIONAL
385	LSF	THAYER MEMORIAL
386	TRM	CROMWELL FARM
387	CHS	WILKES-BARRE/SCRANTON
388	EAR	PILOT COUNTY
389	VEL	METROLINA PARA-CENTER
390	PIB	BAYPORT
391	EVW	KLEBERG COUNTY
392	2A9	RICHMOND MUNICIPAL
393	TOG	WENDELL-KNIGHTDALE
394	1ES	7M RANCH
395	ANI	CHALET SUZANNE
396	7 FL	NATRONA COUNTY INT'L
397	N63	OHIO STATE UNIVERSITY
398	14J	BERRYHILL
399	Q99	THOMAS P. STAFFORD
400	PVG	HOUSTON INTERCONTINENTAL
401	5NN	BATES FIELD
402	L22	BLAINE MUNICIPAL
403	LEE	PIPER MEMORIAL
404	WVI	RENSSELAER COUNTY
405	SAN	SABETHA MUNI
406	0V4	PILOT COUNTRY ESTATES
407	GCI	SUNLAND
408	DXR	GRANTSBURG
409	DSV	LUNKEN FIELD
410	5WA1	ALLENDALE COUNTY
411	ASW	LYCOMING COUNTY
412	AVP	BROWNSVILLE
413	SNP	WILLAMETTE VALLEY
414	7K8	LEBANON
415	AK85	HAVERHILL
416	GLE	CLARK COUNTY
417	Q00	VENTURA COUNTY AIRPORT
418	E11	LIVERMORE MUNICIPAL
419	DHT	WINSLOW MUNI
420	8V6	WEST MEMPHIS MUNICIPAL
421	RIW	JACKSON COUNTY
422	MDS	REYNOLDS MUNI
423	RIR	SMITHFIELD
424	89N	WEST GEORGIA REGIONAL
425	BVY	MONTGOMERY COUNTY
426	GBG	LISBON MUNICIPAL
427	3J6	KALAMAZOO
428	44C	NEW SMYRNA BEACH
429	17XS	ROTONDA
430	UKT	MARANA AIRPARK
431	Z16	TOPHAM RANCH
432	3D9	DODGEVILLE MUNICIPAL
433	9R6	RUSSELLVILLE-LOGAN COUNTY
434	DGW	HALF WAY RANCH
435	C49	MILLARD
436	43Y	STAPLETON INT'L. AIRPORT
437	BWG	KALAMAZOO
438	1M09	HAVERHILL
439	AAP	MILLARD
440	00A	CRAIG FIELD
441	TPA	LAKEFRONT
442	WA32	LAUREL
443	N67	RIDGELAND MUNICIPAL
444	X33	GARRETT COUNTY
445	GHM	LIVERMORE
446	0IV	TULSA INTERNATIONAL
447	EWR	SUTTER COUNTY
448	3B8	TUSCOLA AIRPORT
449	K87	BOWERMAN FIELD
450	D-13	SHANGRI-LA
451	TLR	MERRILL FIELD
452	X52	CARROLL COUNTY
453	ELZ	AVRA VALLEY
454	F53	PARK HALL
455	RBL	LIK AIRSTRIP
456	MSP	ORMOND BEACH MUNI
457	CIT	PORT OF CAMAS
458	L52	MERRITT ISLAND
459	FL19	ST. IGNATIUS MUNICIPAL
460	LA05	IOWA COUNTY
461	24F	DULUTH INTL AIRPORT
462	81J	LEWIS B. WILSON
463	OTH	DULCE
464	4J6	O'HARE INTERNATIONAL
465	ONM	MACCARTHUR
466	LA81	DES MOINES MUNI
467	DAL	FAIRMONT MUNICIPAL
468	7G2	VAN WERT MUNICIPAL
469	C51	LABADIE
470	N81	BUTLER-FARM SHOW
471	KY05	ORMOND BEACH
472	L26	YOLO COUNTY
473	E63	PRIVATE STRIP
474	X22	MIAMI INTL
475	GAI	TALLAHASSEE MUNICIPAL
476	47J	MCKINNEY MUNICIPAL
477	OK19	LAMAR MUNICIPAL
478	02G	DETROIT METRO
479	FIT	ALBANY
480	C08	HEBRON MUNI
481	FTY	BASSO
482	26R2	NAPA COUNTY
483	SYN	KENAI
484	AKN	BOWMAN FIELD
485	6S5	FT. LAUDERDALE INT'L
486	BPI	DAVID WAYNE HOOKS
487	1V6	DIXON
488	AGS	VALLEY
489	C06	DULLES INT'L
490	F29	QUINCY MUNI
491	S08	CUDDIHY FIELD
492	F28	WAUKEGAN HEMORIAL
493	BJI	OAKLAND-PONTIAC AIRPORT
494	S15	RUTHERFORD COUNTY
495	MKK	HANOVER
496	W28	MENDOTA
497	PLB	LONGMONT MUNICIPAL
498	0B7	BAER FIELD
499	PDX	DETROIT METRO
500	H12	JUNEAU
501	G06	MISSOULA COUNTY
502	0H14	NAVION AIRPARK
503	CSR	PRIVATE AIRSTRIP
504	XS80	ALLEGHENY
505	75J	LINCOLN MUNICIPAL
506	MGE	QUARTERMASTER PT.
507	DJN	OAKLAND-PONTIAC AIRPORT
508	21D	SMITH REYNOLDS
509	IGS	FLYING SERVICE INC.
510	6B6	NAPA COUNTY
511	F54	HEREFORD
512	6C8	AKIACHAK
513	CQA	TORRANCE MUNI
514	MTP	FRANK PHILLIPS
515	NE40	YOUNGSTOWN MUNICIPAL
516	MTF	PRIVATE STRIP
517	2 R9	TUSCALOOSA
518	OGG	QUEEN CITY
519	K15	SANTA MONICA
520	5QA	RYAN FIELD
521	43N	HOLBROOK MUNICIPAL
522	4B1	HUNTSVILLE NORTH
523	M55	KITSAP COUNTY
524	RW3	POCATELLO MUNICIPAL
525	89D	EAST KANSAS CITY
526	MS17	GRAIG MUNICIPAL
527	3M4	SENATOR CLARK
528	23J	PRIVATE FARM STRIP
529	OH11	KENAI
530	HIB	TETERSBORO
531	Y70	SANTA BARBARA
532	12K	WILLIAMSON COUNTY
533	64A	MCGHEE TYSON
534	OB7	CROSBY MUNICIPAL
535	X18	OTSEGO COUNTY
536	TVC	SEAMANS
537	8B6	WENTZVILLE
538	CKN	CLEVELAND MUNICIPAL
539	COD	PLYMOUTH
540	3FK	WILLISTON SLOWLIN INTER'L
541	3WA1	RUIDOSO MUNICIPAL
542	B18	PRIVATE STRIP
543	EAT	MERCER COUNTY
544	BRW	TULARE MUNICIPAL
545	CA54	TULARE MUNICIPAL
546	3J7	CORONADO
547	JST	CLEMSON-OCONEE COUNTY
548	MOT	BAXLEY MUNICIPAL
549	K97	ASHEVILLE REGIONAL
550	I86	HOMER
551	D79	LAKE WALES
552	3CM	DUSTER STRIP
553	ISS	SWANSBORO
554	68IL	GARDINER
555	SO8	COL. METRO
556	DEC	HENLEY AERODROME
557	S33	PERRIS VALLEY
558	Y39	MIDDLETOWN
559	BTT	GEORGE L. SCOTT MUNICIPAL
560	IA24	MCCARRIN INTER'L
561	7TX6	STEPHENS COUNTY
562	6N5	KIRBYVILLE
563	3HW	BLACK FOREST GLIDERPORT
564	8BR	SKY MANOR
565	MS06	COLLEGE PARK
566	66NY	AG STRIP
567	E32	DI GIORGIO
568	OL5	CLARKSVILLE MUNICIPAL
569	08AK	SAN ANTONIO INTERNATIONAL
570	BHI	JONESBORO MUNI
571	S88	GEAUGA COUNTRY
572	S95	CLARK COUNTY
573	S10	ASHEVILLE AIRPORT
574	2V8	BUTLER CO.
575	75S	LONG BEACH
576	4R0	WAHWEAP
577	00K7	LUCK FIELD
578	37R	ARAPAHOE COUNTY
579	9GB	CARO
580	K43	KOONS
581	UMT	PIKE COUNTY
582	WA38	AIR HARBOR
583	IN65	AUSTIN MUNI
584	T19	MORRISTOWN MUNICIPAL
585	3V4	TIGER LAKE
586	4G7	LAMBERT-ST. LOUIS INTL
587	C011	CHASE COUNTY
588	PRO	MIAMI INTERNATIONAL
589	7J2	EL MONTE
590	ORT	WICKENBURG
591	W75	RAYMONDVILLE
592	LU7	WESTCHESTER COUNTY
593	41C	WESTMORELAND COUNTY
594	MSS	VERO BEACH MUNICIPAL
595	BTV	LOWELL CITY
596	BRO	COMBS
597	ERV	DECKER STRIP
598	60A	APPLE VALLEY
599	3HE	TRI-CITIES
600	S42	HIDDEN LAKE
601	84R	VANDENBERG
602	FCY	GARY MUNICIPAL
603	PGD	LEWIS FIELD
604	IV8	MAKESHIFT STRIP
605	1A6	WARREN
606	HSB	FLUSHING
607	2A1	SUTTER BUTTE DUSTERS
608	FIF	BLACK HILLS
609	PIR	POCKET CREEK RANCH
610	X53	SKY HAVEN
611	BFM	BLAINE
612	NGU	DANNELLY FIELD
613	CWN	EDWARDS
614	5ND6	MAPLE LAKE
615	N56	EAST KANSAS CITY
616	SO5	DUBUQUE MUNICIPAL
617	OBE	CRAIG
618	ACT	DUPAGE COUNTY
619	3V6	SOUTH COLUMBUS AIRPORT
620	BGO	34TH HELIPORT
621	2OR	PHILADELPHIA SPB
622	OH21	MOULTONBORO MUNI
623	3F2	DEKALB-PEACHTREE
624	EPH	MUNICIPAL
625	L90	GAINESVILLE REGIONAL
626	BWI	HAYWARD AIR TERMINAL
627	8Q0	HOUSTON GULF
628	93Y	GRAND PRAIRIE MUNI.
629	11XS	PRIVATE
630	U27	DENMAN
631	XOI	DODGEVILLE MUNICIPAL
632	40N	ARTHUR
633	3B7	BIG LAKE
634	HYR	34TH HELIPORT
635	KF3D	FAIRFIELD MUNICIPAL
636	VRO	PLATFORM EMMY
637	SPA	CORONADO
638	06R	CYPRESS (CLOSED)
639	EGE	INGALLS
640	ANP	AERO VALLEY
641	L61	NEW LONDON
642	9V2	NEW CASTLE MUNICIPAL
643	P08	LAKEVIEW
644	E54	FAIRFIELD COUNTY
645	SEA	DELAND MUNICIPAL
646	X55	WILLIAM P. HOBBY
647	KJFK	PORT OF CAMAS
648	DNN	GRISWOLD
649	3CK	HARRY SHAM FIELD
650	C-75	VERMAL
651	9U4	HUNT
652	ACB	AG STRIP
653	GGP	R.J. MILLER
654	W20	LANCASTER
655	HNS	OSCEOLA MUNICIPAL
656	8A0	ESTHERVILLE MUNI
657	31P	ST. MARY'S COUNTY
658	7M2	BIRCHWOOD
659	ELD	NEW STUYAHOK
660	MMI	PHIFER
661	MO	ENTERPRISE MUNICIPAL
662	RUQ	WHITE SULPHUR SPRINGS
663	CFJ	ALPINE COUNTY
664	IG6	CLERMONT COUNTY
665	BBW	BILL MARTIN MEMORIAL
666	FRN	CAMARILLO
667	0Z9	WOOD COUNTY
668	U10	HUNTZINGER
669	27J	MCCOLLUM
670	RM6	SALMON
671	JLN	FARMINGDALE
672	83D	MUNICIPAL
673	MLI	ST. LUCIE COUNTY
674	7MY	CAMARILLO
675	7SP	STELLER AIRPARK
676	15F	BOONE COUNTY
677	4V0	ERIE AIRPARK
678	36S	BULLFROG BASIN
679	M79	MCCOLLUM
680	1B6	PRIVATE FARM FIELD
681	4B9	LOCKHART
682	3R7	BLOOMSBURG
683	SD1	HUSBAND
684	Z03	TWIN OAKS
685	3AR	PRIVATE
686	U43	WAX ORCHARD
687	2M6	SUNRIVER AIRPORT
688	F55	BLAIR COUNTY AIRPORT
689	ND36	LAMPSON
690	UNI	MIDLAND AIRPARK
691	68S	O'HARE FIELD
692	MZZ	PRIVATE STRIP
693	ONA	ALVIN
694	00R8	ESCONDIDO RANCH
695	4R2	BISHOP
696	1N1	PRIVATE
697	W27	CLACKAMAS HEIGHTS
698	TA04	SPIRIT OF ST. LOUIS
699	DLG	NORTH LAS VEGAS
700	L72	LUBBOCK MUNICIPAL
701	OH30	NORTH BIG HORN COUNTY
702	3M17	ANDERSON'S
703	WA77	HARRY YERGLER
704	X-46	DECKER FARM
705	14AK	WALLA WALLA CITY COUNTY
706	KIC	COCHISE COUNTY
707	M77	BOONE COUNTY
708	F50	FRONT ROYAL-WARREN CO
709	WI92	BISMARCK MUNICIPAL
710	PVZ	SANTA BARBARA
711	C89	ALEXANDRIA
712	L60	HIGH SPRINGS
713	U13	SOUTHERLAND PRIVATE
714	L12	FORT LAUDERDALE
715	THP	GAINESVILLE
716	1W12	FREMONT
717	MCG	FARMER STRIP
718	DNL	GREATER PEORIA
719	N00	FOX
720	JVL	GRAVELLY VALLEY
721	PN56	BURBANK
722	WRG	MID CONTINENT
723	38WA	CATLETT AG STRIP
724	LGD	EDWARDS AIR FORCE BASE
725	X-53	MID VALLEY
726	53J	BLOOMINGTON-NORMAL
727	MD42	PARA
728	31R	AURORA MUNICIPAL
729	E01	OTTAWA
730	WS06	ANCHORAGE
731	9T8	NOAHS ARK
732	PWM	MEDICINE BOW
733	GRI	FREDONIA MUNICIPAL
734	M42	COPALIS STATE
735	M049	KANSAS CITY INTERNATIONAL
736	1N6	SAN CARLOS
737	TDZ	BIG SPRING
738	0L0	GRIFFIN
739	29D	TIMMERMAN
740	F12	MAY
741	GA80	DULLES INTER'L. AIRPORT
742	37G	BEAGLE SKY RANCH
743	5Y7	TRI-CITIES
744	EDN	DOYLESTOWN
745	HI36	MUNICIPAL
746	HAE	MEADOW LAKE
747	F83	IUKA
748	4J1	HENSON FIELD
749	1S4	CORONADO
750	TX46	SANFORD MUNICIPAL
751	1V2	SAN FERNANDO
752	FDY	CAVERN CITY
753	WA39	LUBBOCK INTL.
754	E18	MEADOWLARK
755	1W2	SANFORD MUNICIPAL
756	OB8	LAMBERT-ST. LOUIS INTL
757	RI10	ELRENO
758	SCE	LAWRENCE
759	1ND3	PRIVATE AIRSTRIP
760	H73	PROVO MUNICIPAL
761	77B	ANDREW PATON
762	8I3	BROOKVILLE AIRPARK
763	BIE	ROMEO
764	L-45	FREEWAY
765	4Q5	PINEVILLE MUNICIPAL
766	CZO	PRIVATE
767	Y40	WILLITS
768	I72	GALESBURG MUNICIPAL
769	WI78	SUMMERSVILLE
770	5R5	ALLENDALE COUNTY
771	BZN	HOPKINSVILLE
772	9G6	GULKANA
773	BY1	AIRSTRIP
774	29R	MADERA
775	ORH	TURNER FIELD
776	46D	WHITFORD
777	51G	C.E. BOND FARM
778	41S	STEPHENSON
779	Y31	HARRISON
780	UNY	GRAVEL STRIP
781	8F4	CAMERON HELIPORT
782	3TE	LOST PRAIRIE-CARSON FIELD
783	AST	NORDHEIM FLYING K
784	N/84	SCHMIDT
785	M003	RALPH-BURBUCHER (PRIVATE)
786	2I4	HOOPER BAY
787	3N3	JOILET
788	PMB	BELDEN
789	84A	SHELBY COUNTY
790	08X	PINNACLE RANCH
791	OBX	HANCOCK
792	LVM	NEW GARDEN FLYING FIELD
793	C98	SCOTTSBLUFF COMPANY
794	35D	NOCK
795	SIY	VAN NUYS
796	I21	PRESCOTT MUNICIPAL
797	CNU	FABENS
798	2H2	LAKESIDE
799	25R	GEAUGA COUNTY
800	6K8	SNODGRASS
801	Z-15	BROCKENBROUGH
802	HWY	MATHIS
803	M072	HARFORD CNTY IND AIR PARK
804	OXR	WASHINGTON CITY REGIONAL
805	SMX	WEST POINT VIRGINIA
806	RTN	BUDDY PAINE (PRIVATE)
807	ROG	SALINAS
808	ISW	BAKERSFIELD AIRPARK
809	3M5	CROWS LANDING NAS
810	MFS	FRESNO AIR TERMINAL
811	DHN	TICO
812	0S9	GILLETTE-CAMPBELL COUNTY
813	28D	TORRANCE MUNICIPAL
814	00G	SALT LAKE CITY INT'L
815	PLO	TRI-CENTER
816	GWW	ROSTRAVER
817	30T	RICHARDS-GEBAUR
818	UNK	AINSWORTH MUNI
819	HIE	LAS CRUCES
820	M41	BI-STATE
